id,products_name,protein_per_100g,fat_per_100g,carb_per_100g,kcal_per_100g
704,Индейка печень,19.5,22,0,276
705,Индейка фарш,20,8,0.5,161
706,Индейка филе отварное,25,1,0,130
707,Индейка шея ,14,13,5,173
708,Карбонад варёно-копчёный,16,8,0,135
709,Карпаччо из курицы,22,5,0,133
710,Корейка,13.7,36.5,0,384
711,Корейка копчено-запеченная,10.2,48.2,0,475
712,Корейка свиная,17,25,0,301
713,Корейка сырокопченая,10.5,47.4,0,469
714,Котлеты из говядины,18,20,0,260
715,Котлеты из говядины рубленые,14.2,11.4,13,213
716,Котлеты из индейки,18.6,12.2,8.7,220
717,Котлеты из курицы,18.2,10.4,13.8,222
718,Котлеты из мяса цыплят рубленые,15.2,13.6,13.5,238
719,Котлеты из свинины и говядины,18,13,0,189
720,Котлеты из свинины рубленые,13.6,45.7,0,466
721,Кролик,21,8,0,156
722,Кролик жареный,25,6,0,155
723,Кроличий фарш,19.5,7.4,0.7,147
724,Кроличьи почки,12.5,1.8,0,66
725,Кроличья печень,19,10,0,166
726,Кроличья печень вареная,22.2,11.7,0,194
727,Куриная голень,18,14,0,198
728,Куриная голень вареная без кожи,27,5.6,0,158
729,Куриная грудка,23.6,1.9,0.4,113
730,Куриная грудка вареная,29.8,1.8,0.5,137
731,Куриная грудка на кости без кожи,18.9,9.3,0,161
732,Куриная грудка копченая,18,5,0,117
733,Куриная грудка на пару,23.6,1.9,0,113
734,Куриная печень,19.1,6.3,0.6,136
735,Куриная печень вареная,25.9,6.2,2,166
736,Куриная печень жареная,30.8,8.9,2,210
737,Куриное сердце,15.8,10.3,0.8,159
738,Куриное сердце вареное,20,10.9,1.1,182
739,Куриное филе,23.1,1.2,0,110
740,Куриное филе вареное,30.4,3.5,0,153
741,Куриное филе сыровяленое,52.8,9,0,292
742,Куриные бедра,21.3,11,0.1,185
743,Куриные бедра филе без кожи,21,5,0,130
744,Куриные желудки,18.2,4.2,0.6,114
745,Куриные крылышки,19.2,12.2,0,186
746,Куриные крылышки копченые,29.9,19.5,0,290
747,Куриные окорочка,16.8,10.2,0,158
748,Куриные окорочка без кожи,14.5,10.2,0,155
749,Куриные окорочка копченые,10,20,0,220
750,Куриные шейки,14.7,26.4,0,297
751,Куриный окорочок копчёно-варёный,17,15,2,211
752,Куриный рулет,16,26,0,310
753,Куриный рулет с черносливом и грецким орехом для запекания,14,17,3,220
754,Куриный суповой набор,16.5,12.6,0.4,181
755,Куриный фарш,17.4,8.1,0,143
756,Курица,16,14,0,190
757,Курица вареная (без кожи),25.2,7.4,0,170
758,Курица жареная,26,12,0,210
759,Курица копченая,27.5,8.2,0,184
760,Куропатка,18,20,0.5,254
761,Куропатка жареная,29,8,0,250
762,Мясо цыпленка в собственном соку,15,16,0,204
763,Наггетсы куриные ,12.5,12.5,22.2,251
764,Паштет печеночный ,8.1,33,4.4,339
765,Паштет гусиный,9,28,1.5,294
766,Паштет из индейки,9,30,3,318
767,Паштет из куриной печени,10,28,3,300
768,Паштет утиный,9,28,1.5,294
769,Паштет из говяжьей печени,18.1,11.1,7,177
770,Паштет мясной,15,11,0,170
771,Перепелка,21.8,4.5,0,134
772,Сало,2.4,89,0,797
773,Свиная вырезка,19.4,7.1,0,142
774,Свиная голяшка копчёно-варёная из окорока,15,9,0,141
775,Свиная грудинка без кости,10.1,53,0,510
776,Свиная грудинка копчено-вареная,14,33,0,353
777,Свиная грудинка с костью,21,10,0,174
778,Свиная лопатка,16,21.7,0,257
779,Свиная нога жареная,27,20,0,290
780,Свиная печень,22,3.4,2.6,130
781,Свиная печень вареная,30.4,4.7,3.6,180
782,Свиная рулька со шкурой,18.6,24.7,0,294
783,Свиная тушенка,13,35,0,367
784,Свиная шейка,13.6,31.9,0,343
785,Свиная щековина,6.4,69.6,0,494
786,Свиная щековина копченая,9.1,67.1,0.5,625
787,Свинина,16,21.6,0,259
788,Свинина вареная,22.6,31.6,0,375
789,Свинина жареная,11.4,49.3,0,489
790,Свинина копченая,16.6,24.8,3.4,302
791,Свинина постная,19.4,7.1,0,160
792,Свинина тушеная,9.8,20.3,3.2,235
793,Свино-говяжий фарш,10,20,2,230
794,Свиное рагу ,10,30,0,310
795,Свиное сердце,16.9,4.8,2.2,118
796,Свиное сердце вареное,33.8,9.6,4.4,236
797,Свиной окорок,11,20,0,231
798,Свиной ошеек,16.1,22.8,0,267
799,Свиной подгрудок,7.4,67.8,0,630
800,Свиной фарш,17,21,0,263
801,Свиной шпик,1.4,92.8,0,841
802,Свиной язык,16.5,11.1,0,165
803,Свиные отбивные,28,24,0,340
804,Свиные почки,16.8,3.8,0,102
805,Свиные ребра,15.2,29.3,0,321
806,Свиные ребра копчено-вареные,10,55,0,535
807,Свиные ребра копченые,10,52.7,0,514
808,Соевое мясо,52,1,17.6,296
809,Соевое мясо фарш ,52,2,18,298
810,Соевый бефстроганов,48.9,2.3,8.9,312
811,Соевый гуляш ,48.9,2.3,8.9,310
812,Соевый стейк со вкусом курицы,49,2.5,9,310
813,Субпродукты тушеные,24,8,0,185
814,Телятина отварная,30.7,0.9,0,131
815,Телячий окорок,19.9,3.1,0,108
816,Телячьи ребра,16.3,18.7,0,233
817,Телячья лопатка,19.9,2.8,0,106
818,Телячья мякоть,20.5,2.4,0,105
819,Телячья печень,19.2,3.3,4.1,124
820,Тефтели свиные,7,10,12,172
821,Утиная грудка,18.9,9,2,172
822,Утиная грудка без кожи и жира,19,6,0,145
823,Утиная печень,15.8,38,0,405
824,Утка,13.5,28.6,0,308
825,Утка вареная,19.7,18.8,0,248
826,Утка жареная,22.6,19.5,0,266
827,Утка копченая,19,28.4,0,337
828,Фрикадельки из говяжьего фарша ,19,7.5,0,139
2076,Печенье Курабье,6.7,25.8,64.6,516
829,Фрикадельки из куриного фарша ,21,5,0,129
830,Фрикадельки из свиного фарша,13,18,0,210
831,Фуа-гра,11.4,43.8,4.7,462
832,Хамон,34.8,16.1,1.3,241
833,Цыпленок-бройлер охлажденный,18.7,16.1,0.5,219
834,Чебупели Горячая штучка С ветчиной и сыром,6,13,36,285
835,Чебупели Горячая штучка Сочные с мясом,7,16,35,312
836,Чебупицца Горячая штучка Курочка по-итальянски,12.5,15,29,301
837,Чебупицца Горячая штучка Пепперони,10.5,13,23,251
838,Чебурек Гранд Меню с мясом,9,15,32,294
839,Ягнёнок (каре),16.2,14.1,0,192
840,Ягнёнок (нога),20.6,5.1,0,134
841,Ягнятина,16.2,14.1,0,192
842,Артишок,1.2,0.1,6,28
843,Ассорти Бондюэль из сладкого перца замороженное,1.1,0.2,4.8,25
844,Ассорти Бондюэль из фасоли с ананасами в соусе Карри замороженное,3.8,1.1,9.3,62
845,"Ассорти Бондюэль из цветной капусты, романеско и брокколи замороженное",1.8,2.7,8.6,66
846,Баклажан,1.2,0.1,4.5,24
847,Баклажан белый,1.2,0.1,4.6,24
848,Баклажан консервированный,0.9,0.7,7.3,49
849,Баклажанная икра консервированная,1.7,13.3,5.1,148
850,Баклажанная икра свежая,0.6,7,6,90
851,Баклажаны 4 сезона запечённые порционные замороженные,2.1,0.2,8.9,48
852,Баклажаны 4 сезона нарезанные замороженные,1.3,0.1,5.2,27
853,Баклажаны Greenola с овощами консервированные,2,4,12,92
854,Брюква,1.2,0.1,7.7,37
855,Брюква запечённая,2.1,1.6,7.5,51
856,Брюква тушеная,1.2,8.5,8.6,114
857,Горох варёный,6,0,9,60
858,Горох лущеный,23,1.6,57.7,323
859,Горох маш,23.5,2,46,300
860,Горох маш (ростки),3.1,0.2,6,30
861,Горох сушёный,20.5,2,53.3,298
862,Горошек зелёный,5,0.2,13.8,73
863,Горошек зелёный 4 сезона замороженный,5.1,0.2,13.1,75
864,Горошек зелёный Globus консервированный,5.5,0.7,7.4,74
865,Горошек зелёный Hortex замороженный,6.4,0.4,10.5,83
866,Горошек зелёный Бондюэль замороженный,6.9,0.4,19.4,85
867,Горошек зелёный Бондюэль Нежный консервированный,4.8,0.2,7.5,52
868,Горошек зелёный Бондюэль с молодой морковью консервированный,3.3,0.5,9.3,54
869,Горошек зелёный Бондюэль с морковью в кубиках консервированный,3,0.2,10,53
870,Горошек зелёный замороженный,6.4,0.4,16.3,72
871,Горошек зелёный консервированный,3.6,0.1,9.8,55
872,Горошек зелёный стручковый,5,0.2,8.3,55
873,Дайкон,1.2,0,4.1,21
874,Кабачки 4 сезона нарезанные замороженные,0.6,0.3,5.3,26
875,Кабачковая икра,1.2,7,7.4,97
876,Кабачок,0.6,0.3,4.6,24
877,Кабачок жареный,1.1,6,6.7,88
878,Кабачок замороженный,0.6,0.3,4.7,21
879,Кабачок консервированный,0.4,0.1,4.9,22
880,Каперсы,0.8,0.1,2.6,14
881,Каперсы консервированные,2.4,0.9,1.7,24
882,Каперсы маринованные,2.4,0.9,1.7,24
883,Капуста белокочанная,1.8,0.1,4.7,27
884,Капуста белокочанная жареная,1.8,2.8,4.2,49
885,Капуста брокколи,3,0.4,5.2,28
886,Капуста брокколи 4 сезона замороженная,2.5,0.3,4.6,31
887,Капуста брокколи Hortex замороженная,2.7,0.4,2.4,29
888,Капуста брокколи Бондюэль замороженная,2.7,0.1,4.9,23
889,Капуста брокколи варёная,3,0.4,4,27
890,Капуста брокколи замороженная,2.7,0.4,4.7,24
891,Капуста брюссельская,4.8,0,8,43
892,Капуста брюссельская 4 сезона замороженная,4.8,0.3,3.1,36
893,Капуста брюссельская Hortex замороженная,4.5,0.5,3.2,46
894,Капуста брюссельская Бондюэль замороженная,4,0.5,8,31
895,Капуста брюссельская замороженная,4.5,0.5,8.4,36
896,Капуста кале,3.3,0.7,8,50
897,Капуста квашеная,1.8,0.1,4.4,19
898,Капуста кольраби,2.8,0,10.7,42
899,Капуста краснокочанная,0.8,0,7.6,24
900,Капуста пак-чой,1.5,0.2,2.2,13
901,Капуста пекинская,1.2,0.2,2,16
902,Капуста романеско,2.5,0.3,4.2,30
903,Капуста романеско Бондюэль замороженная,2.9,0.5,2.2,25
904,Капуста савойская,1.2,0.1,6,28
905,Капуста цветная,2.5,0.3,5.4,30
906,Капуста цветная 4 сезона замороженная,2.5,0.3,4.6,31
907,Капуста цветная Hortex замороженная,2.2,0.2,2.3,24
908,Капуста цветная Бондюэль замороженная,1.6,0.2,3.9,14
909,Капуста цветная варёная,1.8,0.3,4,29
910,Капуста цветная жареная,3,10,5.7,120
911,Картофель,2,0.4,16.1,76
912,Картофель 4 сезона по-деревенски замороженный,2.5,4,23.5,130
913,Картофель 4 сезона фри замороженный,2.1,3.3,11,105
914,Картофель варёный,2,0.4,16.7,82
915,Картофель жареный,2.8,9.5,23.4,192
916,Картофель молодой,2.4,0.4,12.4,61
917,Картофель сладкий (батат),2,0,14.6,61
918,Картофель фиолетовый,2,0.4,16,72
919,Картофельное пюре,2.5,4.2,14.7,106
920,Картофельное пюре быстрого приготовления сухое,10.5,3.8,75.3,337
921,Картофельное пюре Доширак со вкусом грибов сухое,5.1,5.3,71.2,350
922,Картофельное пюре Доширак со вкусом сыра сухое,7.5,2.3,74.8,350
923,Картофельное пюре Роллтон с курицей сухое,10,7,69,380
924,Картофельное пюре Роллтон с сухариками сухое,10.5,3.8,75.3,377
925,Картофельные хлопья,7,1.1,83,369
926,Кинза,2.1,0.5,1.9,23
927,Кукуруза 4 сезона сладкая в зёрнах замороженная,11.4,4.2,38.6,238
928,Кукуруза Globus сахарная в зернах консервированная,2.9,0.6,9.9,58
929,Кукуруза Hortex замороженная,3.6,1.4,19.3,111
930,Кукуруза Бондюэль золотистая консервированная,3.2,1,18.6,96
931,Кукуруза Бондюэль Молодая сладкая консервированная,2.9,1.9,10.8,80
932,Редька белая,1.4,0,4.1,21
933,Кукуруза Бондюэль сладкая в зёрнах  консервированная,3.3,2.3,14.7,93
934,Кукуруза варёная,4.1,2.3,22.5,123
935,Кукуруза мини,3.1,1.6,21.8,114
936,Кукуруза сладкая в початках,3.5,2.8,15.6,101
937,Лаванда,4,0.7,0.2,23
938,Лечо Бондюэль в томатном соусе замороженное,1.3,0.9,5.4,35
939,Лечо Бондюэль консервированное,1.5,0.3,17,65
940,Листья амаранта,2.5,0.3,4,23
941,Лоби 4 сезона зелёный нарезанный замороженный,3.1,0.3,3.1,28
942,Лук белый,1.4,0.2,9,42
943,Лук зелёный,1.3,0,4.6,19
944,Лук красный,1.4,0,9.1,42
945,Лук красный маринованный,0.9,0.1,2.8,19
946,Лук маринованный,0.9,0.1,2.8,19
947,Лук порей,2,0,8.2,33
948,Лук репчатый,1.4,0,10.4,47
949,Лук репчатый пассерованный,1.2,17,8.6,193
950,Лук репчатый сушеный,8.4,2.8,42.6,219
951,Лук-шалот,2.5,0.1,16.8,72
952,Любисток,3.7,0.4,7.6,20
953,Люффа,1.2,0.2,4.4,20
954,Маслины,2.2,10.5,5.1,166
955,Маслины Бондюэль с косточкой / без косточки консервированные,0.8,10.7,6.3,115
956,Маш-салат,1.1,0,3.5,23
957,Микрозелень,2.6,0.1,5,31
958,Микрозелень гороха Botanica Farm,3,0.6,1.4,23
959,Морковные палочки,1,0,6,29
960,Морковь,1.3,0.1,6.9,32
961,Морковь Бондюэль молодая целая замороженная,0.8,0.5,5,27
962,Морковь Бондюэль молодая Экстра консервированная,0.5,0.7,4.2,25
963,Морковь варёная,0.8,0.3,5,25
964,Морковь жёлтая,1.3,0.1,7.2,33
965,Морковь квашеная,1.3,0.1,4.5,26
966,Морковь консервированная,0.6,0.1,3.6,23
967,Морковь пассерованная,0.9,10.2,8.5,127
968,Нут,19,6,61,364
969,Нут Бондюэль На пару консервированный,6.4,2.2,14.7,120
970,Нут вареный,8.3,1.9,19.3,127
971,Нут консервированный,7.2,3.4,19.5,125
972,Овощи Бондюэль для супа из шампиньонов замороженные,0.3,0.3,6,22
973,Овощи для жарки Hortex замороженные,2.1,1.7,8.5,63
974,Овощи для жарки Hortex с приправой по-восточному замороженные,2.2,0.3,4.5,37
975,Овощи для жарки Hortex с приправой по-итальянски замороженные,2.4,0.5,6.7,47
976,Овощи для жарки Hortex с пряными травами и перцем замороженные,2.1,1.5,11.1,71
977,Овощи для жарки Hortex с рисом и шампиньонами замороженные,2.8,0.4,10,60
978,Овощи для жарки Hortex с укропом замороженные,2.2,1.5,8.4,61
979,Овощи для жарки Краски лета замороженные,2.4,0,10.8,53
980,Овощная смесь 4 сезона Весенние овощи замороженные,2.9,0.3,10,54
981,Овощная смесь 4 сезона Восточная замороженная,2.7,0.4,7.5,44
982,Овощная смесь 4 сезона Гавайская замороженная,3.7,1.2,24.8,125
983,Овощная смесь 4 сезона Грибное жаркое с гречкой замороженная,4.3,0.9,15.9,85
984,Овощная смесь 4 сезона Грибы с картошкой замороженная,2,0.5,7.4,40
985,Овощная смесь 4 сезона Гювеч замороженная,1.4,0.1,5.2,51
986,Овощная смесь 4 сезона Итальянская замороженная,5.4,0.9,22,114
987,Овощная смесь 4 сезона Калифорния замороженная,7.6,1.6,42.6,154
988,Овощная смесь 4 сезона Китайская замороженная,2.3,1.2,3.9,34
989,Овощная смесь 4 сезона Летние овощи замороженная,3.5,0.3,7.5,47
990,Овощная смесь 4 сезона Лечо замороженная,1.2,0.1,5.3,27
991,Овощная смесь 4 сезона Мексиканская замороженная,3.4,0.9,16.4,87
992,Овощная смесь 4 сезона Мусака замороженная,1.5,0.2,8.1,40
993,Овощная смесь 4 сезона Овощи для жарки с шампиньонами замороженная,4.9,1.2,2.1,39
994,Овощная смесь 4 сезона Овощи по-деревенски замороженная,5.4,1.7,26.1,141
995,Овощная смесь 4 сезона Овощи с гречкой замороженная,3.5,0.8,16.8,84
996,Овощная смесь 4 сезона Овощное рагу замороженная,0.5,0.1,3.8,38
997,Овощная смесь 4 сезона Паприкаш замороженная,3.5,0.1,8.9,51
998,Овощная смесь 4 сезона Паста с лесными грибами замороженная,0.1,0.9,16,84
999,Овощная смесь 4 сезона Сибирская замороженная,2.6,0.5,10.7,58
1000,Овощная смесь 4 сезона Скандинавская замороженная,2.8,0.3,5.9,38
1001,Овощная смесь 4 сезона Столичный салат замороженная,1.8,0.2,12.1,57
1002,Овощная смесь Hortex mexico замороженная,3.6,0.4,7.5,56
1003,Овощная смесь Hortex stir-fry vegetables замороженная,2.2,2.1,13.1,85
1004,Овощная смесь Hortex vip замороженная,1.9,0.4,5.4,39
1005,Овощная смесь Hortex брокколи замороженная,1.9,0.3,3.1,28
1006,Овощная смесь Hortex брокколи и цветная замороженная,2.5,0.3,2.4,27
1007,Овощная смесь Hortex весенние овощи замороженная,2.8,0.3,3.9,37
1008,Овощная смесь Hortex восточное блюдо замороженная,1.6,0.2,3.2,27
1009,Овощная смесь Hortex гавайская замороженная,3.7,0.6,18.5,100
1010,Овощная смесь Hortex кус-кус замороженная,2.1,0.2,4.6,34
1011,Овощная смесь Hortex летние овощи замороженная,2.6,0.2,4.2,36
1012,Овощная смесь Hortex лечо замороженная,1.1,0.3,3,22
1013,Овощная смесь Hortex овощи по-деревенски замороженная,1.8,0.3,7.3,44
1014,Овощная смесь Hortex овощи по-домашнему замороженная,1.3,0.3,3.9,28
1015,Овощная смесь Hortex паприкаш замороженная,1.3,0.2,2.9,22
1016,Овощная смесь Hortex рагу замороженная,1.3,0.2,2.3,19
1017,Овощная смесь Hortex рататуй замороженная,1.1,0.2,2.6,19
1018,Овощная смесь Бондюэль Весенняя замороженная,2.6,0.5,4.5,35
1019,Овощная смесь Бондюэль для жарки ВОК по-азиатски замороженная,2.8,0.2,4.5,30
1020,Овощная смесь Бондюэль для жарки Гавайская замороженная,3,0.5,22.7,91
1021,Овощная смесь Бондюэль для жарки Индонезийская замороженная,1.8,0,7.8,38
1022,Овощная смесь Бондюэль для жарки Китайская замороженная,2.5,0.4,11.7,61
1023,Овощная смесь Бондюэль для жарки По-деревенски замороженная,1.7,4.6,4.4,65
1024,Овощная смесь Бондюэль для жарки Полевая замороженная,2,0.4,3.3,25
1025,Овощная смесь Бондюэль для жарки с рисом и шампиньонами замороженная,2.5,0.3,14.7,58
1026,Овощная смесь Бондюэль Китайская замороженная,1.3,0.2,3.2,19
1027,Овощная смесь Бондюэль Летнее трио замороженная,2.5,0.1,1.8,26
1028,Овощная смесь Бондюэль Летняя в сливочном соусе замороженная,2,2.8,9.3,70
1029,Овощная смесь Бондюэль Маседуан консервированная,2.2,0.3,7.9,43
1030,Овощная смесь Бондюэль Мексиканская консервированная,3.6,0.7,12.7,72
1031,Овощная смесь Бондюэль Минестрон замороженная,1.9,0.7,11.8,51
1032,Овощная смесь Бондюэль Царская замороженная,1.4,0.3,5.1,20
1033,Овощное рагу 4 сезона замороженное,0.5,0.1,3.8,38
1034,Огурец,0.8,0.1,2.8,15
1035,Огурец маринованный,2.8,0,1.3,16
1036,Огурец парниковый,0.7,0,1.8,10
1037,Огурец солёный,0.8,0.1,1.7,11
1038,Огурцы Бондюэль корнишоны маринованные 3-6 см,1,0.2,3.5,20
1039,Огурцы Бондюэль маринованные 6-9 см,1,0.2,3.5,20
1040,Оливки,0.8,10.7,6.3,115
1041,Оливки Бондюэль с косточкой / без косточки консервированные,1.4,18.2,5.1,160
1042,Пастернак,1.4,0.5,9.2,47
1043,Патиссон,0.6,0.1,4.3,19
1044,Патиссон консервированный,3.9,0,2,18
1045,Перец мини,1.3,0,5.7,27
1046,Перец Рамиро,1.3,0.1,5.2,30
1047,Перец ратунда,1.3,0.1,4.9,26
1048,Перец сладкий 4 сезона нарезанный замороженный,1.3,0.1,5.4,27
1049,Перец сладкий жёлтый,1.3,0,5.3,27
1050,Перец сладкий замороженный,1.3,0,5.7,27
1051,Перец сладкий зелёный,1.3,0,6.9,33
1052,Перец сладкий красный,1.3,0,5.3,27
1053,Перец сладкий маринованный,1.3,0.1,4.9,25
1054,Петрушка,3.7,0.4,7.6,47
1055,Ревень,0.7,0.1,2.5,13
1056,Редька зелёная,2,0.2,6.5,32
1057,Редька красная,1.2,0.1,3.4,20
1058,Редька маргеланская (китайская),1.2,0,4.1,21
1059,Редька чёрная,1.9,0.2,6.7,35
1060,Репа,1.5,0.1,6.2,30
1061,Ростки фасоли Бондюэль Мунго консервированные,1.5,0.1,1.8,14
1062,Руккола,2.6,0.7,2.1,25
1063,Салат,1.2,0.3,1.3,12
1064,Салат Агрохолдинг Московский Гранж зелёный листовой,1.7,0.3,2.2,18
1065,Салат Агрохолдинг Московский Изилиф зелёный листовой,1.3,0.2,2.2,16
1066,Салат Агрохолдинг Московский Латук дуболистный зелёный,1.4,0.2,1.9,15
1067,Салат Агрохолдинг Московский Премиум красный листовой,1.3,0.2,2.2,16
1068,Салат Агрохолдинг Московский Фриллис хрустящий,1.4,0.2,1.6,25
1069,Салат Айсберг,0.9,0.1,1.8,14
1070,Салат Афицион,1.5,0.2,2.2,14
1071,Салат Батавия,1.5,0.2,2,16
1072,Салат из микрозелени Дабл Боб Botanica Farm,2.8,10.1,3.6,113
1073,Салат кочанный,0.9,0.1,1.8,14
1074,Салат Лолло Росса,1.5,0.2,2,16
1075,Салат Мицуна,2,0.2,1.5,16
1076,Салат Оаклиф,1.5,0.2,2,16
1077,Салат Полевой,1.1,0,3.5,23
1078,Салат Радичио,1.5,0.2,3.3,20
1079,Салат Романо,1.8,1.1,2.7,17
1080,Салат Фризе,1.5,0,2.2,14
1081,Салат-коктейль Бондюэль Гавайский маринованный консервированный,1.7,0.5,20,91
1082,Салат-коктейль Бондюэль Сомбреро консервированный,1.7,0.8,11.9,62
1083,Свекла,1.5,0.1,8.8,43
1084,Свекла Бондюэль в кубиках в кисло-сладком маринаде консервированная,0.8,0.1,6.5,30
1085,Свекла варёная,1.8,0,10.8,49
1086,Свекла жёлтая,1.5,0.1,9.1,50
1087,Свекла запеченная,1.5,0,8.5,41
1088,Свекла квашеная,1.3,0,6,32
1089,Свекла консервированная,0.9,0.1,5.4,31
1090,Свекла тушеная,2.7,5.5,12.2,106
1091,Сельдерей,0.9,0.1,2.1,12
1092,Соя,34.9,17.3,17.3,381
1093,Соя (ростки),13.1,6.7,9.6,141
1094,Спаржа,1.9,0.1,3.1,20
1095,Спаржа Бондюэль зелёная целая замороженная,0.6,1.3,2.6,24
1096,Спаржа маринованная,1.8,0.2,1.5,15
1097,Томат (помидор),1.1,0.2,3.7,20
1098,Томат вяленый,14.1,3,43.5,258
1099,Томат замороженный,1.1,0.2,3.9,22
1100,Томат консервированный,1.1,0.1,3.5,20
1101,Томат маринованный,1.7,0.2,1.8,15
1102,Томат солёный,1.1,0.1,1.6,13
1103,Томат сушеный,3.1,4.4,4.7,71
1104,Томат черри,0.8,0.1,2.8,15
1105,Томаты 4 сезона нарезанные замороженные,1.1,0.2,3.9,22
1106,Томаты в собственном соку консервированные,1.2,0.5,3.6,24
1107,Топинамбур,2.1,0.1,12.8,61
1108,Турнепс,1,0,6,28
1109,Тыква,1.3,0.3,7.7,28
1110,Тыква 4 сезона нарезанная замороженная,1.3,0.3,7.7,28
1111,Тыква баттернат,1,0.1,9.7,45
1112,Тыква варёная,1,1,4.4,28
1113,Тыква жареная,1.4,5.5,5.2,76
1114,Тыква маринованная,0.6,0.1,8.9,42
1115,Тыква мускатная,1,0.1,9.7,45
1116,Укроп,2.5,0.5,6.3,38
1117,Фасоль (ростки),1.5,0.1,1.8,14
1118,Фасоль 4 сезона зелёная стручковая нарезанная замороженная,3.1,0.3,3.1,28
1119,Фасоль 4 сезона золотистая стручковая нарезанная замороженная,3.1,0.3,3.1,28
1120,Фасоль Heinz в томатном соусе консервированная,4.9,0.2,12.9,73
1121,Фасоль Hortex стручковая резаная замороженная,2.2,0.2,3.3,31
1122,Фасоль белая,20.9,1.8,64,325
1123,Фасоль белая консервированная,6.7,0,16,91
1124,Фасоль Бондюэль белая в томатном соусе консервированная,5.4,0.3,20.3,106
1125,Фасоль Бондюэль белая консервированная,6.7,0.3,17.4,99
1126,Фасоль Бондюэль белая Пикантная в томатном соусе консервированная,5.5,3,19,125
1127,Пирожное Корзиночка с грибочками,1,27.5,54.9,461
1128,Фасоль Бондюэль зелёная резаная консервированная,1.4,0.2,4.4,25
1129,Фасоль Бондюэль зелёная стручковая замороженная,1.9,0.2,7.6,28
1130,Фасоль Бондюэль коричневая со сладким перцем в соусе Кайен замороженная,2.6,0.4,7.6,44
1131,Фасоль Бондюэль красная в соусе Чили замороженная,5.5,3,19,112
1132,Фасоль Бондюэль красная в томатном соусе чили консервированная,5.8,2.8,19,124
1133,Фасоль Бондюэль красная консервированная,6.7,0.3,17.4,99
1134,Фасоль Бондюэль красная с кукурузой в мексиканском соусе консервированная,4.6,3.1,18.3,120
1135,Фасоль варёная,7.8,0.5,21.5,123
1136,Фасоль красная,21,1.6,52.7,310
1137,Фасоль красная консервированная,6.7,0.3,17.4,99
1138,Фасоль лимская,6.8,0.9,15.3,113
1139,Фасоль спаржевая,2.8,0.4,8.4,47
1140,Фасоль стручковая,2,0.2,3.6,24
1141,Фасоль стручковая консервированная,1.2,0.1,2.4,16
1142,Фасоль сухая,21.1,1.2,41.4,265
1143,Фасоль чёрная,8.9,0.5,23.7,132
1144,Фенхель,1.2,0.2,7.3,31
1145,Хрен,3.2,0.4,10.5,56
1146,Цуккини,1.5,0.2,3,16
1147,Цуккини варёный,0.8,0.1,2.5,13
1148,Чеснок маринованный,1.8,0.1,9.1,42
1149,Чеснок молодой зелёный,6,0,5,40
1150,Чеснок молодой маринованный,1.8,0,9,42
1151,Чеснок чёрный,6.5,0.5,29.9,149
1152,Чечевица (ростки),9,0.6,22.1,119
1153,Чечевица Бондюэль консервированная,8.6,0.6,17.5,110
1154,Чечевица варёная,7.8,0,20.1,112
1155,Чечевица красная,21.6,1.1,48,314
1156,Чечевица сушёная,24,1.5,42.7,284
1157,Шнитт-лук,3.3,0.7,1.9,30
1158,Шпинат,2.9,0.3,2,22
1159,Шпинат 4 сезона листья порционные свежий,3,0.2,5.4,22
1160,Шпинат Hortex размельченный свежий,2.3,0.4,0.4,19
1161,Шпинат Бондюэль в листьях замороженный,3.6,0.5,2.7,30
1162,Шпинат Бондюэль в листьях консервированный,2.8,0.4,1.8,22
1163,Шпинат замороженный,2.6,0.8,7.2,24
1164,Щавель,1.5,0.3,2.9,19
1165,Арахис,26.3,45.2,9.9,622
1166,Арахис жареный соленый,25,52,17,640
1167,Арахис сушеный,29.2,50.2,10.8,611
1168,Бананы сушёные,3.9,1.8,80.5,390
1169,Барбарис сушеный,0,0,38,152
1170,Боярышник сушеный,0,0,38,142
1171,Бразильский орех,14.3,66.4,4.8,656
1172,Буковый орех,6.2,50,33.5,576
1173,Вишня вяленая,1.5,0,73,290
1174,Вишня сушеная,1.5,0,73,290
1175,Грецкий орех,15.2,65.2,7,654
1176,Груши сушёные,2.3,0.6,62.6,249
1177,Дыня сушеная,0.7,0.1,82.2,341
1178,Изюм,2.9,0.6,66,264
1179,Изюм кишмиш,2.3,0,71.2,279
1180,Изюм узбекский чёрный,1.8,0,70.9,291
1181,Инжир сушеный,3.1,0.8,57.9,257
1182,Какао-бобы,12.8,53.1,9.5,565
1183,Кедровые орехи,15.6,56,28.4,680
1184,Кешью жареный,17.5,42.2,30.5,572
1185,Кешью необжаренный,17.5,42.5,30.5,572
1186,Клюква сушеная,0.1,1.4,76.5,308
1187,Кокосовый орех,3.4,33.5,6.2,354
1188,Коктейль орехи и сухофрукты,11.2,27.9,46.6,483
1189,Кумкват сушёный,3.8,0,80.1,284
1190,Кунжут,19.4,48.7,12.2,565
1191,Кунжут чёрный,19.4,48.4,12.2,565
1192,Курага,5.2,0.3,51,215
1193,Мак,17.5,47.5,2,505
1194,Малина сублимированная,5.1,0.2,63.2,275
1195,Манго сушёный,1.5,0.8,81.6,314
1196,Миндаль Mixbar сладкий жареный,19,55,17,640
1197,Миндаль сладкий,18.6,57.7,16.2,645
