id,products_name,protein_per_100g,fat_per_100g,carb_per_100g,kcal_per_100g
109,Овсяная каша Myllyn Paras с дыней и сахаром (сухой),11.5,7.7,61.9,362
110,Овсяная каша Myllyn Paras с клубникой без сахара (сухой),11.9,7.9,56.3,353
111,Овсяная каша Myllyn Paras с клубникой и сахаром (сухой),11.9,7.9,60.8,362
112,Овсяная каша Myllyn Paras с клюквой без сахара (сухой),11.9,7.9,56.3,353
113,Овсяная каша Myllyn Paras с лесными ягодами и сахаром (сухой),11.6,7.7,61.8,363
114,Овсяная каша Myllyn Paras с малиной и сахаром (сухой),11.9,7.9,60.8,362
115,"Овсяная каша Myllyn Paras с отрубями, вишней и сливой (сухой)",15.5,7.2,50.6,333
116,"Овсяная каша Myllyn Paras с отрубями, яблоком и чёрной смородиной (сухой)",15.2,7,51.1,333
117,Овсяная каша Myllyn Paras с персиком без сахара (сухой),11.9,7.9,56.3,353
118,Овсяная каша Myllyn Paras с персиком и сахаром (сухой),11.6,7.6,60.7,357
119,Овсяная каша Myllyn Paras с тропическими фруктами (сухой),11.1,5.8,62.8,348
120,Овсяная каша Myllyn Paras с черникой без сахара (сухой),11.9,7.9,56.3,353
121,Овсяная каша Myllyn Paras с черникой и сахаром (сухой),11.6,7.7,61.7,362
122,Овсяная каша Myllyn Paras с шоколадом и апельсином (сухой),10.5,8,62.2,363
123,Овсяная каша Myllyn Paras с яблоком и брусникой (сухой),10.4,5.5,63.8,346
124,Овсяная каша Myllyn Paras Тропик с сахаром (сухой),11.7,7.8,61.8,364
125,Овсяная каша Гранд Меню Ассорти без варки (сухой),10,5,68,367
126,Овсяная каша Мистраль Малиновый мильфей (сухой),8.8,3.1,65.2,347
127,Овсяная каша Мистраль Тирамису (сухой),9.3,6.5,65.7,355
128,Овсяная каша Мистраль Черничный чизкейк (сухой),9.3,6.6,64.7,351
129,Овсяная каша Мистраль Яблоко-Груша (сухой),10.5,6.3,56.6,337
130,Овсяная каша Мистраль Ягодный мусс (сухой),10.5,5.9,68.4,363
131,Овсяная каша на воде,3,1.7,15,88
132,Овсяная каша на молоке,3.2,4.1,14.2,102
133,Овсяная крупа (сухой),12.3,6.1,59.5,342
134,Овсяно-Манная крупа Myllyn Paras (сухой),14.5,5.1,69.1,345
135,Овсяные + Рисовые хлопья Myllyn Paras (сухой),10.3,4,68,346
136,Овсяные отруби (сухой),18,7.7,45.3,320
137,Овсяные отруби Myllyn Paras (сухой),18,7.7,45.3,320
138,Овсяные отруби Мистраль (сухой),17.8,6.9,65.8,346
139,Овсяные отруби Ого! (сухой),12.5,4.5,62,356
140,Овсяные хлопья (сухой),11.9,7.2,69.3,366
141,Овсяные хлопья + Отруби Myllyn Paras (сухой),16.2,7.6,50,335
142,Овсяные хлопья Makfa (сухой),13,6,70,380
143,Овсяные хлопья Makfa с отрубями (сухой),14,5,62,345
144,Овсяные хлопья Myllyn Paras (сухой),14,7.5,56,350
145,Овсяные хлопья Myllyn Paras быстрого приготовления (сухой),14,7.5,56,350
146,Овсяные хлопья Myllyn Paras крупные (сухой),14,7.5,56,359
147,Овсяные хлопья Геркулес (сухой),12.5,6.2,61,352
148,Овсяные хлопья Геркулес Makfa традиционный (сухой),12,6,62,350
149,Овсяные хлопья Геркулес Русский продукт Монастырский (сухой),12,6,62,350
150,Овсяные хлопья Геркулес Фитнес с отрубями (сухой),12.3,6.3,61.2,351
151,Овсяные хлопья Ясно Солнышко с овсяными отрубями (сухой),11,7,48,340
152,Овсяные хлопья Ясно Солнышко №1 (сухой),12,6,51,310
153,Овсяные хлопья Ясно Солнышко №2 (сухой),12,6,51,310
154,Перловая каша на воде,3.1,0.4,22.2,109
155,"Перловая каша рассыпчатая, приготовленная",3.1,0.4,23,106
156,Перловая крупа (сухой),9.3,1.1,73.7,320
157,Перловая крупа Makfa (сухой),9.3,1.1,66.9,315
158,Перловая крупа Makfa в пакетиках (сухой),9.3,1.1,66.9,315
159,Перловая крупа Мистраль Барли (сухой),12.1,0.8,73.4,349
160,Плов Готово! с грибами (сухой),7,1,65,300
161,Полба (сухой),14.7,2.2,61.2,337
162,Полбяная каша на воде,5.5,0.9,26.5,127
163,Пшеница воздушная На Здоровье! со вкусом шоколада (сухой),9.9,4.6,79.6,399
164,Пшеница пророщенная,7.5,1.3,41.4,198
165,Пшеничная каша Myllyn Paras (сухой),13,2,62.5,325
166,Пшеничная крупа (сухой),11.5,1.3,62,316
167,Пшеничная крупа Makfa Артек (сухой),11,1.2,68.5,329
168,Пшеничные отруби (сухой),14.7,4.1,20.6,180
169,Пшеничные отруби Ого! (сухой),13.8,2.8,61.4,326
170,Пшеничные хлопья (сухой),16,1,70,336
171,Пшённая каша Myllyn Paras (сухой),11.2,3.9,55.3,305
172,Пшенная каша вязкая на воде,3,0.7,17,90
173,"Пшенная каша рассыпчатая, приготовленная",4.7,1.1,26.1,135
174,Пшенная крупа (сухой),11.5,3.3,69.3,348
175,Пшенная крупа Мистраль шлифованная (сухой),11.5,3.3,66.5,342
176,Ржаные отруби (сухой),11.2,3.2,32,221
177,Ржаные отруби Ого! (сухой),13,2,40,274
178,Ржаные хлопья (сухой),6.4,3.2,82.6,343
179,Ржаные хлопья Myllyn Paras (сухой),9.7,2,61.3,305
180,Ризотто Yelli с белыми грибами (сухой),8,1.5,74,340
181,Ризотто с томатами и базиликом (сухой),7,1,77,350
182,Рис 4 сезона для жарки (сухой),2,0.5,22,110
183,Рис Bravolli Карнароли для ризотто (сухой),7,1,80,360
184,Рис Bravolli Четыре риса (сухой),11,0.5,72,340
185,Рис Makfa длиннозерный (сухой),7,1,74,333
186,Рис Makfa длиннозерный в пакетиках м,7,1,74,333
187,Рис Makfa длиннозерный пропаренный (сухой),7,1,74,333
188,Рис Makfa длиннозерный пропаренный в пакетиках (сухой),7,1,74,333
189,Рис Makfa круглозерный (сухой),7,1,74,333
190,Рис Makfa круглозерный в пакетиках (сухой),7,1,74,333
191,Рис Yelli Басмати с овощами Бириани (сухой),7,1,77,350
192,Рис Арборио (сухой),6.5,0.7,75.4,330
193,Рис белый (сухой),6.7,0.7,78.9,344
194,Рис белый вареный,2.2,0.5,24.9,116
195,Рис бурый (сухой),7.4,1.8,72.9,337
196,Рис дикий вареный,4,0.3,21.1,100
197,Рис дикий чёрный (сухой),4.1,0.4,21,101
198,Рис длиннозерный (сухой),7.1,0.7,78,365
199,Рис для суши (сухой),7,0.6,75.2,342
200,Рис золотистый (сухой),8.1,0.4,78,349
201,Рис Карнароли (сухой),7.5,2.6,62.5,303
202,Рис коричневый (сухой),6.3,4.4,65.1,331
203,Рис коричневый вареный,2.6,0.9,22.8,110
204,Рис красный нешлифованный (сухой),10.5,2.5,70.5,362
205,Рис круглозерный шлифованный (сухой),0.1,0.4,79,350
206,Рис Мистраль Акватика Color Mix (сухой),8.8,2.3,72.8,356
207,Рис Мистраль Акватика Дикий (сухой),14,0.5,72,357
208,Рис Мистраль круглозерный (сухой),0.1,0.4,79.5,355
209,Рис Мистраль пропаренный (сухой),7.1,0.7,79.3,361
210,Рис Мистраль Самарканд красный круглозерный (сухой),8,0.5,75.8,320
211,Рис пропаренный вареный,2.1,0.1,21.4,97
212,"Рис рассыпчатый, приготовленный",2.4,0.2,24.9,113
213,Рисовая каша на воде,1.5,0.1,17.4,78
214,Рисовая каша на молоке,2.5,3.1,16,97
215,Рисовые отруби (сухой),13.4,20.9,28.9,316
216,Рисовые хлопья (сухой),7,2,77,360
217,Рисовые хлопья Myllyn Paras (сухой),7,1,77,360
218,Рисовые хлопья Myllyn Paras для каши (сухой),7,1,77,360
219,Смесь бобовых Мистраль (сухой),22.6,1.6,48.5,299
220,Смесь чечевицы Мистраль для супов и гарниров (сухой),24.5,1.2,54.6,327
221,Фасоль Мистраль Микс (сухой),22,1.7,63.3,327
222,Хлопья 4-х зерновые Myllyn Paras (сухой),11.4,2.8,51.1,320
223,Хлопья Makfa 4 злака (сухой),10,2,77,360
224,Хлопья Makfa 5 злаков (сухой),11,3,75,370
225,Хлопья Nestle Fitness из цельной пшеницы (сухой),8.3,2,76.4,357
226,Хлопья Nestle Fitness с тёмным шоколадом (сухой),8,6.7,72.9,384
227,Хлопья Nestle Fitness с фруктами (сухой),6.4,2.6,75.7,352
228,Хлопья красной чечевицы Myllyn Paras (сухой),25,0,52,320
229,Хлопья Мистраль смесь 5 злаков (сухой),10.1,3.8,76.3,365
230,Хлопья Ясно солнышко 7 злаков (сухой),11,3,64,340
231,Чечевица Мистраль Канадская зелёная крупная (сухой),19.4,1.1,66.6,328
232,Чечевица Мистраль Персидская красная колотая (сухой),25,1.1,53,322
233,Чечевица Мистраль Турецкая жёлтая колотая (сухой),22.3,0.1,65.5,332
234,Чечевица Фермер зелёная (сухой),24,1.1,53.7,284
235,"Ячменная каша, приготовленная",11.5,2,65.8,310
